case_id,split,task,regime,seed,strongest_baseline,proposed_success,baseline_success,success_gap,proposed_utility,baseline_utility,utility_gap,cost_gap,lesson
1,goal_change_shift,tool_handoff,goal_specification_changed,5,proposed_disappearing_goal_belief_revision_v4,0.0,1.0,-1.0,-0.045036,0.742125,-0.787161,0.038788,active perception is nearly sufficient when the object is merely occluded and reappears quickly
2,substitute_ambiguity_shift,bin_sorting,goal_specification_changed,9,proposed_disappearing_goal_belief_revision_v4,0.333333,1.0,-0.666667,0.244766,0.913238,-0.668472,0.024038,"substitute choice is trivial, so the explicit substitute planner adds little"
3,physical_removal_shift,cabinet_restocking,delayed_reappearance,9,proposed_disappearing_goal_belief_revision_v4,0.333333,1.0,-0.666667,0.284715,0.945699,-0.660984,0.038779,belief revision is late when observation delay and task-goal change coincide
4,physical_removal_shift,shelf_retrieval,visual_occlusion,4,proposed_disappearing_goal_belief_revision_v4,0.333333,1.0,-0.666667,0.29989,0.954377,-0.654487,0.03107,"v5 buys safety by intervening more, which can reduce efficiency"
5,physical_removal_shift,cabinet_restocking,human_temporary_obstruction,5,proposed_disappearing_goal_belief_revision_v4,0.333333,1.0,-0.666667,0.317151,0.971187,-0.654035,0.025327,the strongest baseline is close when physical invalidation is unambiguous
6,delayed_reappearance_shift,mobile_pick_and_place,visual_occlusion,4,proposed_disappearing_goal_belief_revision_v4,0.333333,1.0,-0.666667,0.28008,0.925497,-0.645417,0.022283,over-conservative abandonment remains possible under high human obstruction
7,delayed_reappearance_shift,tool_handoff,object_moved,5,proposed_disappearing_goal_belief_revision_v4,0.333333,1.0,-0.666667,0.279646,0.92465,-0.645004,0.022526,active perception is nearly sufficient when the object is merely occluded and reappears quickly
8,human_obstruction_shift,cabinet_restocking,cascading_disappearing_goal,2,proposed_disappearing_goal_belief_revision_v4,0.333333,1.0,-0.666667,0.283409,0.907309,-0.6239,0.011959,"substitute choice is trivial, so the explicit substitute planner adds little"
9,goal_change_shift,tool_handoff,substitute_goal_available,4,proposed_disappearing_goal_belief_revision_v4,0.166667,0.833333,-0.666667,0.124116,0.728847,-0.604731,0.025929,belief revision is late when observation delay and task-goal change coincide
10,physical_removal_shift,bin_sorting,visual_occlusion,2,proposed_disappearing_goal_belief_revision_v4,0.333333,1.0,-0.666667,0.283926,0.862751,-0.578825,0.028082,"v5 buys safety by intervening more, which can reduce efficiency"
11,delayed_reappearance_shift,cabinet_restocking,substitute_goal_available,5,proposed_disappearing_goal_belief_revision_v4,0.333333,1.0,-0.666667,0.270435,0.827453,-0.557019,0.028434,the strongest baseline is close when physical invalidation is unambiguous
12,goal_change_shift,bin_sorting,visual_occlusion,1,proposed_disappearing_goal_belief_revision_v4,0.166667,0.833333,-0.666667,0.128797,0.539579,-0.410781,0.030423,over-conservative abandonment remains possible under high human obstruction
13,physical_removal_shift,drawer_placement,goal_specification_changed,3,proposed_disappearing_goal_belief_revision_v4,0.5,1.0,-0.5,0.209321,0.908696,-0.699376,0.008709,active perception is nearly sufficient when the object is merely occluded and reappears quickly
14,delayed_reappearance_shift,tool_handoff,object_moved,8,proposed_disappearing_goal_belief_revision_v4,0.333333,0.833333,-0.5,0.173986,0.807763,-0.633776,0.021894,"substitute choice is trivial, so the explicit substitute planner adds little"
15,goal_change_shift,drawer_placement,human_temporary_obstruction,8,proposed_disappearing_goal_belief_revision_v4,0.5,1.0,-0.5,0.35418,0.956057,-0.601877,0.033361,belief revision is late when observation delay and task-goal change coincide
16,substitute_ambiguity_shift,shelf_retrieval,human_temporary_obstruction,6,proposed_disappearing_goal_belief_revision_v4,0.5,1.0,-0.5,0.349449,0.921914,-0.572465,0.02512,"v5 buys safety by intervening more, which can reduce efficiency"
17,human_obstruction_shift,mobile_pick_and_place,goal_specification_changed,0,proposed_disappearing_goal_belief_revision_v4,0.333333,0.833333,-0.5,0.133072,0.654614,-0.521542,0.023343,the strongest baseline is close when physical invalidation is unambiguous
18,goal_change_shift,shelf_retrieval,cascading_disappearing_goal,2,proposed_disappearing_goal_belief_revision_v4,0.166667,0.666667,-0.5,0.096751,0.617233,-0.520482,0.029535,over-conservative abandonment remains possible under high human obstruction
19,combined_extreme,cabinet_restocking,visual_occlusion,1,proposed_disappearing_goal_belief_revision_v4,0.5,1.0,-0.5,0.422193,0.920912,-0.49872,0.028441,active perception is nearly sufficient when the object is merely occluded and reappears quickly
20,combined_extreme,drawer_placement,object_removed,7,proposed_disappearing_goal_belief_revision_v4,0.333333,0.833333,-0.5,0.256245,0.755573,-0.499328,0.025148,"substitute choice is trivial, so the explicit substitute planner adds little"
21,goal_change_shift,mobile_pick_and_place,human_temporary_obstruction,6,proposed_disappearing_goal_belief_revision_v4,0.5,1.0,-0.5,0.423488,0.937973,-0.514486,0.02744,belief revision is late when observation delay and task-goal change coincide
22,combined_extreme,shelf_retrieval,substitute_goal_available,4,proposed_disappearing_goal_belief_revision_v4,0.5,1.0,-0.5,0.429993,0.924756,-0.494764,0.026333,"v5 buys safety by intervening more, which can reduce efficiency"
23,combined_extreme,drawer_placement,goal_specification_changed,9,proposed_disappearing_goal_belief_revision_v4,0.5,1.0,-0.5,0.436775,0.934175,-0.4974,0.018079,the strongest baseline is close when physical invalidation is unambiguous
24,substitute_ambiguity_shift,tool_handoff,goal_specification_changed,7,proposed_disappearing_goal_belief_revision_v4,0.5,1.0,-0.5,0.424917,0.930408,-0.505492,0.031444,over-conservative abandonment remains possible under high human obstruction
